"","Kod","Panstwo","PKB","Populacja","Przyrost_populacji","Region","Urbanizacja_proc.","Internet_proc.","Populacja_mln","PKB_per_capita"
"1","AFG","Afghanistan",19469022208,34656032,2.69,"South Asia",27.132,10.6,34.656032,561.778746280013
"2","AGO","Angola",95335111741,28813463,3.37,"Sub-Saharan Africa",44.819,90.6,28.813463,3308.7002329779
"3","ALB","Albania",11863865978,2876101,-0.16,"Europe and Central Asia",58.376,13,2.876101,4124.98239039589
"4","AND","Andorra",2858517699,77281,-0.94,"Europe and Central Asia",84.612,97.93,0.077281,36988.6220287005
"5","ARE","United Arab Emirates",3.49e+11,9269612,1.25,"Middle East and North Africa",85.804,76.18,9.269612,37649.9037931685
"6","ARG","Argentina",5.45e+11,43847430,0.98,"Latin America and Caribbean",91.893,67,43.84743,12429.4627986178
"7","ARM","Armenia",10572298342,2924816,0.27,"Europe and Central Asia",62.558,73,2.924816,3614.68835714794
"8","ATG","Antigua and Barbuda",1460144704,100963,1.04,"Latin America and Caribbean",23.393,70.97,0.100963,14462.1762824005
"9","AUS","Australia",1.2e+12,24127159,1.41,"East Asia and Pacific",89.554,88.24,24.127159,49736.4816139356
"10","AUT","Austria",3.91e+11,8747358,1.31,"Europe and Central Asia",66.032,84.32,8.747358,44699.2108931634
"11","AZE","Azerbaijan",37847715736,9762274,1.16,"Europe and Central Asia",54.895,78.2,9.762274,3876.93643263854
"12","BDI","Burundi",3007029030,10524117,3.14,"Sub-Saharan Africa",12.359,39.36,10.524117,285.727442026728
"13","BEL","Belgium",4.68e+11,11348159,0.65,"Europe and Central Asia",97.897,59.83,11.348159,41240.1694406996
"14","BEN","Benin",8583031398,10872298,2.76,"Sub-Saharan Africa",44.395,80,10.872298,789.440410665712
"15","BFA","Burkina Faso",11693235542,18646433,2.92,"Sub-Saharan Africa",30.688,41.77,18.646433,627.1030787497
"16","BGD","Bangladesh",2.21e+11,162951560,1.08,"South Asia",35.035,11.99,162.95156,1356.23126283664
